"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","673b3fd26221dab5a11bb40c","673b3fda6221dab5a11bcc12","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skillgroup","673b3fd26221dab5a11bb3f0","673b3fda6221dab5a11bcc13","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skill","673b3fdf6221dab5a11be7eb","673b3fda6221dab5a11bcc13","skill","2024-11-18T13:24:04.472Z","2024-11-18T13:24:04.472Z"
"skillgroup","673b3fd26221dab5a11bb3ce","673b3fda6221dab5a11bcc14","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skillgroup","673b3fd26221dab5a11bb36c","673b3fda6221dab5a11bcc15","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skillgroup","673b3fd26221dab5a11bb475","673b3fda6221dab5a11bcc16","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skill","673b3fda6221dab5a11bcd4c","673b3fda6221dab5a11bcc17","skill","2024-11-18T13:24:04.472Z","2024-11-18T13:24:04.472Z"
"skillgroup","673b3fd26221dab5a11bb3c1","673b3fda6221dab5a11bcc18","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skillgroup","673b3fd26221dab5a11bb246","673b3fda6221dab5a11bcc19","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skillgroup","673b3fd26221dab5a11bb31c","673b3fda6221dab5a11bcc1a","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skillgroup","673b3fd26221dab5a11bb3b8","673b3fda6221dab5a11bcc1b","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skill","673b3fd56221dab5a11bc034","673b3fda6221dab5a11bcc1b","skill","2024-11-18T13:24:04.472Z","2024-11-18T13:24:04.472Z"
"skillgroup","673b3fd26221dab5a11bb488","673b3fda6221dab5a11bcc1c","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skillgroup","673b3fd26221dab5a11bb3fe","673b3fda6221dab5a11bcc1d","skill","2024-11-18T13:23:57.960Z","2024-11-18T13:23:57.960Z"
"skillgroup","673b3fd26221dab5a11bb247","673b3fda6221dab5a11bcc1e","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb297","673b3fda6221dab5a11bcc1f","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb3ca","673b3fda6221dab5a11bcc20","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fd46221dab5a11bb554","673b3fda6221dab5a11bcc20","skill","2024-11-18T13:24:04.472Z","2024-11-18T13:24:04.472Z"
"skill","673b3fda6221dab5a11bd0d8","673b3fda6221dab5a11bcc20","skill","2024-11-18T13:24:04.472Z","2024-11-18T13:24:04.472Z"
"skill","673b3fd56221dab5a11bc034","673b3fda6221dab5a11bcc20","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skill","673b3fda6221dab5a11bced1","673b3fda6221dab5a11bcc20","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skill","673b3fda6221dab5a11bc95a","673b3fda6221dab5a11bcc20","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb315","673b3fda6221dab5a11bcc21","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb3d0","673b3fda6221dab5a11bcc22","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fde6221dab5a11bdcb1","673b3fda6221dab5a11bcc22","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb301","673b3fda6221dab5a11bcc23","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fda6221dab5a11bcf86","673b3fda6221dab5a11bcc23","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb3a5","673b3fda6221dab5a11bcc24","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb484","673b3fda6221dab5a11bcc25","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb47b","673b3fda6221dab5a11bcc26","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb476","673b3fda6221dab5a11bcc27","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb349","673b3fda6221dab5a11bcc28","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb456","673b3fda6221dab5a11bcc29","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fda6221dab5a11bcf4b","673b3fda6221dab5a11bcc29","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
